source_file,Unnamed: 0,opt_epoch,opt_mae,mse,mape,para,memo,opt_time,tot_time
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,5,31.0,0.3252,2.3815,0.3285,0.5922,2.2589,3.3068,18.93
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,6,34.0,0.335,3.7629,0.3326,0.5922,2.2589,3.7374,19.114
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,7,139.0,0.3407,5.8147,0.3358,0.5922,2.2589,13.3071,18.7894
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,8,104.0,0.3383,3.9821,0.3318,0.5922,2.2589,10.215,19.0243
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,9,92.0,0.3346,2.5005,0.3294,0.5922,2.2589,9.218,19.2405
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,10,35.0,0.3408,2.7904,0.3321,0.5922,2.2589,3.8274,19.4501
iif_exp\ICU\no_pearson_ICU_DMU_alone_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_1.0_state_true_thre_0.25_delta_0.3.csv,11,27.0,0.3501,2.2945,0.3356,0.5922,2.2589,2.9697,19.4509
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,0,19.0,0.555,1.9081,0.4138,0.5922,2.2589,0.0066,0.0549
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,1,147.0,0.5758,3.8745,0.3888,0.5922,2.2589,0.0466,0.0624
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,2,12.0,0.5096,1.8773,0.3825,0.5922,2.2589,0.0043,0.0645
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,3,175.0,0.3245,1.0664,0.2839,0.5922,2.2589,0.0534,0.0606
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,4,49.0,0.2195,0.1178,0.2015,0.5922,2.2589,0.0164,0.0665
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,5,14.0,0.4401,0.9766,0.3256,0.5922,2.2589,0.0045,0.0674
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,6,164.0,0.3426,0.9969,0.2934,0.5922,2.2589,0.0519,0.063
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,7,141.0,0.3301,0.6922,0.2756,0.5922,2.2589,0.0462,0.0651
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,8,199.0,0.4242,1.7129,0.3185,0.5922,2.2589,0.0657,0.0657
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,9,16.0,0.3319,0.2753,0.2767,0.5922,2.2589,0.0056,0.0657
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,10,27.0,0.5107,1.8915,0.3814,0.5922,2.2589,0.0094,0.0685
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.001_state_true_thre_0.25_delta_0.3.csv,11,20.0,0.4397,0.8918,0.3374,0.5922,2.2589,0.0084,0.0666
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,0,35.0,0.7436,7.434,0.47100000000000003,0.5922,2.2589,0.0365,0.1981
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,1,20.0,0.4623,1.6016,0.3425,0.5922,2.2589,0.0224,0.2252
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,2,21.0,0.4443,1.8696,0.3305,0.5922,2.2589,0.0239,0.2296
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,3,22.0,0.4272,1.2092,0.3177,0.5922,2.2589,0.0281,0.2494
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,4,21.0,0.4582,1.3346,0.3412,0.5922,2.2589,0.0286,0.2462
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,5,22.0,0.4901,2.3874,0.35100000000000003,0.5922,2.2589,0.0284,0.2582
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,6,17.0,0.4021,0.7616,0.3072,0.5922,2.2589,0.0242,0.2642
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,7,21.0,0.4747,2.0688,0.3431,0.5922,2.2589,0.0319,0.2693
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,8,24.0,0.4246,0.7885,0.3149,0.5922,2.2589,0.0354,0.2697
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,9,16.0,0.4189,1.1744,0.3093,0.5922,2.2589,0.0218,0.2829
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,10,26.0,0.4344,1.2361,0.31,0.5922,2.2589,0.0372,0.2871
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.01_state_true_thre_0.25_delta_0.3.csv,11,39.0,0.5089,1.5319,0.3561,0.5922,2.2589,0.0568,0.2901
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,0,77.0,0.473,3.4354,0.4292,0.5922,2.2589,0.6879,1.7771
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,1,24.0,0.3674,4.1176,0.364,0.5922,2.2589,0.2591,2.0734
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,2,21.0,0.3207,2.5380000000000003,0.3378,0.5922,2.2589,0.2299,2.1616
iif_exp\ICU\no_pearson_ICU_DMU_data+state+transfer_10_SAGE++DAMC_window_4_epoch_200_eval_0.5_stream_0.1_state_true_thre_0.25_delta_0.3.csv,3,42.0,0.3251,2.2468,0.3406,0.5922,2.2589,0.49700000000000005,2.2807
